,,,train,val,test
L1,random_normal,tanh,97176.0390625,160986.875,65295.44921875
L1,random_normal,relu,100092.359375,158176.21875,70685.21875
L1,glorot_uniform,tanh,95431.453125,155389.28125,65046.06640625
L1,glorot_uniform,relu,131795.890625,179003.96875,103291.8671875
L2,random_normal,tanh,91819.7265625,153123.328125,60459.16015625
L2,random_normal,relu,94866.1328125,141971.53125,65930.9453125
L2,glorot_uniform,tanh,99021.359375,145237.359375,76132.109375
L2,glorot_uniform,relu,90433.3203125,136006.0,65732.0234375
L1L2,random_normal,tanh,102642.03125,150206.65625,71680.0546875
L1L2,random_normal,relu,92494.4609375,136899.96875,64125.890625
L1L2,glorot_uniform,tanh,103966.2734375,156001.703125,74629.65625
L1L2,glorot_uniform,relu,91238.84375,137254.921875,70335.65625
